ids	maltype	system calls frequency_1gram-scaled
delay_151_2021-11-23	delay	[0.9073343545593687, 25.0, 5.0, 2.1695436002354818, 10.0, 0.8339357029462592, 0.8341146002319866, 0.9072396015725736, 0.0, 10.0, 0.0, 30.0, 0.8991101266258853, 10.0, 0.9069625696147005, 5.0, 14.990974241231937]
delay_152_2021-11-23	delay	[0.6305385555344026, 25.0, 5.0, 0.5315915733510863, 10.0, 0.5691497342661365, 0.569313534555484, 0.6304437952661237, 0.0, 10.0, 0.0, 30.0, 0.6234213084824566, 10.0, 0.6301915121147904, 5.0, 14.758439541734631]
delay_153_2021-11-23	delay	[-1.1603174692819807, 25.0, 5.0, -0.5798758734633248, 10.0, -1.2181555543246916, -1.2180936587609092, -1.160127946094809, 0.0, 10.0, 0.0, 30.0, -1.1537497264784358, 10.0, -1.160171266087752, 5.0, 12.975673512255284]
delay_154_2021-11-23	delay	[-1.06350291399898, 25.0, 5.0, 1.0580761534210708, 10.0, -1.1298935647646509, -1.1298266368687417, -1.0633133882649723, 0.0, 10.0, 0.0, 30.0, -1.0669974206178714, 10.0, -1.0634788133073347, 5.0, 13.019965835969057]
delay_155_2021-11-23	delay	[0.01638454845281374, 25.0, 5.0, 0.5315915733510863, 10.0, 0.3043637655860138, 0.3045124688789812, 0.016289772028392078, 0.0, 10.0, 0.0, 30.0, 0.007813599587296443, 10.0, 0.015883956606176242, 5.0, 14.481612518523553]
delay_156_2021-11-23	delay	[0.0014571941140251205, 25.0, 5.0, -0.4043810134399967, 10.0, -0.07074969004415999, -0.07062237416273091, 0.0012202520137625504, 0.0, 10.0, 0.0, 30.0, -0.007201222580878194, 10.0, 0.0010252540000112052, 5.0, 14.082981605099599]
delay_157_2021-11-23	delay	[1.0267531892696777, 25.0, 5.0, 3.5735024804221065, 10.0, 0.9883941846763308, 0.9885818885432798, 1.0270849352738254, 0.0, 10.0, 0.0, 30.0, 1.025901958268249, 10.0, 1.0273845922288438, 5.0, 15.145997374230141]
delay_158_2021-11-23	delay	[-1.3168414419201355, 25.0, 5.0, -0.5798758734633248, 10.0, -1.3726140360547632, -1.3725609470722024, -1.3166519228505367, 0.0, 10.0, 0.0, 30.0, -1.3151590647863132, 10.0, -1.3169638443348965, 5.0, 12.776358055543309]
delay_159_2021-11-23	delay	[0.5477983629136886, 25.0, 5.0, -0.5798758734633248, 10.0, 0.48088774470609563, 0.48104651266331633, 0.5478457657519751, 0.0, 10.0, 0.0, 30.0, 0.5537692167578686, 10.0, 0.5474706752177821, 5.0, 14.636635651521756]
delay_15_2021-11-23	delay	[0.1622461251346911, 25.0, 5.0, -0.4043810134399967, 10.0, 0.08370879168591158, 0.08384491414856232, 0.16215135254735333, 0.0, 10.0, 0.0, 30.0, 0.17798158415994234, 10.0, 0.16180972249955825, 5.0, 14.249077819026246]
delay_160_2021-11-23	delay	[-0.14738985343560998, 25.0, 5.0, -0.4043810134399967, 10.0, -0.22520817177423155, -0.22508966247402415, -0.14748463416833635, 0.0, 10.0, 0.0, 30.0, -0.15568113068838293, 10.0, -0.14734000038095013, 5.0, 13.927958472101395]
delay_161_2021-11-23	delay	[-1.0127499092470988, 25.0, 5.0, -0.5798758734633248, 10.0, -0.269339166554252, -0.26922317342010793, -1.012986878027436, 0.0, 10.0, 0.0, 30.0, -1.0165309349970622, 10.0, -1.0126930984295468, 5.0, 13.961177714886725]
delay_162_2021-11-23	delay	[0.30853419765481954, 25.0, 5.0, 2.1695436002354818, 10.0, 0.21610177602597294, 0.21624544698681367, 0.3088659247652559, 0.0, 10.0, 0.0, 30.0, 0.29851723989889983, 10.0, 0.3092878901577635, 5.0, 14.370881709239121]
