ids	maltype	system calls frequency_1gram-scaled
delay_174_2021-11-30	delay	[0.0, 0.0, 0.0, -1.4429410725752279, 0.0, -1.470793040365675, 0.0, -1.47875379934112, 0.0, 0.0, 0.0, 0.0, -1.474854280315835, 0.0, -1.479183413035459, 0.0, -1.0710271696318958]
delay_175_2021-11-30	delay	[0.0, 50.0, 10.0, 1.2914263414106426, 20.0, 0.8845208668195925, 0.0, 0.8818912342910692, 0.0, 20.0, 0.0, 60.0, 0.8595666744998589, 20.0, 0.8805313787711991, 10.0, 29.713551014044928]
delay_176_2021-11-30	delay	[0.0, 25.0, 5.0, -0.0011837088372234046, 10.0, 0.7838664263415897, 0.0, 0.782256984518119, 0.0, 10.0, 0.0, 30.0, 0.8040557133041781, 10.0, 0.7837112120170404, 5.0, 15.434025573983456]
delay_177_2021-11-30	delay	[0.0, 25.0, 5.0, 2.086878680024714, 10.0, 0.8039973144371902, 0.0, 0.7988410989146569, 0.0, 10.0, 0.0, 30.0, 0.7577965789744442, 10.0, 0.7955872823673427, 5.0, 15.219380808666077]
delay_178_2021-11-30	delay	[0.0, 25.0, 5.0, 0.048532062326156054, 10.0, 1.1462224120624, 0.0, 1.1433501628239868, 0.0, 10.0, 0.0, 30.0, 1.175979153315239, 10.0, 1.1450255557253874, 5.0, 15.953691847909745]
delay_179_2021-11-30	delay	[0.0, 25.0, 5.0, 2.633752162821888, 10.0, 0.8643899787239919, 0.0, 0.8909606718516759, 0.0, 10.0, 0.0, 30.0, 0.911006831874523, 10.0, 0.8914010024816452, 5.0, 15.2532720874004]
delay_17_2021-11-30	delay	[0.0, 25.0, 5.0, -1.1943622167583305, 10.0, -0.12202353796043633, 0.0, -0.11794947506895292, 0.0, 10.0, 0.0, 30.0, -0.12778828863398253, 10.0, -0.12048044922969751, 5.0, 14.417287211953763]
delay_180_2021-11-30	delay	[0.0, 25.0, 5.0, 0.8937001721036069, 10.0, 1.4481857334964088, 0.0, 1.4496380255850458, 0.0, 10.0, 0.0, 30.0, 1.4746281245480015, 10.0, 1.4503814662577341, 5.0, 16.495952307658914]
delay_181_2021-11-30	delay	[0.0, 25.0, 5.0, -0.6972045051245358, 10.0, 1.48844750968761, 0.0, 1.4910983115763905, 0.0, 10.0, 0.0, 30.0, 1.4886909013842407, 10.0, 1.4920483571477774, 5.0, 15.637373246389396]
delay_182_2021-11-30	delay	[0.0, 25.0, 5.0, -0.2497625646541207, 10.0, 0.481903104907581, 0.0, 0.48685244682978795, 0.0, 10.0, 0.0, 30.0, 0.5379731726395485, 10.0, 0.4908352398189096, 5.0, 14.518961048156733]
delay_183_2021-11-30	delay	[0.0, 25.0, 5.0, 0.3965424604698123, 10.0, 0.3812486644295781, 0.0, 0.3775009425276163, 0.0, 10.0, 0.0, 30.0, 0.3747709467242471, 10.0, 0.3783145054829954, 5.0, 14.609337791448262]
delay_184_2021-11-30	delay	[0.0, 25.0, 5.0, 0.7445528586134685, 10.0, 1.4683166215920094, 0.0, 1.4714046757305017, 0.0, 10.0, 0.0, 30.0, 1.4749981976226394, 10.0, 1.4723220030065975, 5.0, 16.134445334492803]
delay_185_2021-11-30	delay	[0.0, 25.0, 5.0, 2.3354575358416114, 10.0, 1.5689710620700121, 0.0, 1.5780353487644914, 0.0, 10.0, 0.0, 30.0, 1.5512332509980409, 10.0, 1.5786027681754038, 5.0, 15.614779060566514]
delay_186_2021-11-30	delay	[0.0, 50.0, 10.0, -0.5977729627977769, 20.0, 1.1462224120624, 0.0, 1.1450344869423852, 0.0, 20.0, 0.0, 60.0, 1.1571054265087077, 20.0, 1.1472397383330708, 10.0, 29.679659735310604]
delay_187_2021-11-30	delay	[0.0, 25.0, 5.0, -0.8463518186146742, 10.0, 0.5221648810987821, 0.0, 0.5285718596085786, 0.0, 10.0, 0.0, 30.0, 0.5013359382503991, 10.0, 0.5254570042299601, 5.0, 15.072518600817343]
delay_188_2021-11-30	delay	[0.0, 25.0, 5.0, -0.2497625646541207, 10.0, 0.6429502096723856, 0.0, 0.638571180879365, 0.0, 10.0, 0.0, 30.0, 0.6304914412990164, 10.0, 0.6391854745337017, 5.0, 15.219380808666077]
delay_189_2021-11-30	delay	[0.0, 25.0, 5.0, -1.4429410725752279, 10.0, -1.4305312641744738, 0.0, -1.4274466954268308, 0.0, 10.0, 0.0, 30.0, -1.4322958767324798, 10.0, -1.4304713956664228, 5.0, 13.18590408460669]
delay_18_2021-11-30	delay	[0.0, 25.0, 5.0, -0.5977729627977769, 10.0, 0.6630810977679862, 0.0, 0.6758854382715752, 0.0, 10.0, 0.0, 30.0, 0.6552863372997537, 10.0, 0.6732033709608385, 5.0, 15.287163366134724]
delay_190_2021-11-30	delay	[0.0, 25.0, 5.0, 1.341142112574022, 10.0, 0.5825575453855839, 0.0, 0.5867458233901841, 0.0, 10.0, 0.0, 30.0, 0.5631381417149237, 10.0, 0.5854412239653848, 5.0, 14.756199999296994]
delay_191_2021-11-30	delay	[0.0, 25.0, 5.0, -0.7966360474512948, 10.0, -1.048044390358063, 0.0, -1.0557293188356809, 0.0, 10.0, 0.0, 30.0, -1.0396483445416982, 10.0, -1.0554693776560327, 5.0, 13.197201177518131]
delay_192_2021-11-30	delay	[0.0, 25.0, 5.0, -0.10061525116398233, 10.0, -0.18241620224723806, 0.0, -0.19089366573497502, 0.0, 10.0, 0.0, 30.0, -0.16294523072458034, 10.0, -0.18730850611614386, 5.0, 14.03318605296477]
delay_193_2021-11-30	delay	[0.0, 25.0, 5.0, 2.3851733070049908, 10.0, 0.9247826430107937, 0.0, 0.9220558863451844, 0.0, 10.0, 0.0, 30.0, 0.9306207048303302, 10.0, 0.9228021376451562, 5.0, 15.546996503097867]
delay_194_2021-11-30	delay	[0.0, 25.0, 5.0, -0.29947833581750016, 10.0, 0.6832119858635868, 0.0, 0.6830114249263376, 0.0, 10.0, 0.0, 30.0, 0.6767505756287503, 10.0, 0.6812549440796875, 5.0, 15.004736043348698]
delay_195_2021-11-30	delay	[0.0, 25.0, 5.0, 0.9931317144303659, 10.0, 0.340986888238377, 0.0, 0.3286555430940633, 0.0, 10.0, 0.0, 30.0, 0.31777969323001487, 10.0, 0.33081022408178656, 5.0, 14.677120348916908]
delay_196_2021-11-30	delay	[0.0, 50.0, 10.0, 1.341142112574022, 20.0, 1.1059606358711989, 0.0, 1.104999398281993, 0.0, 20.0, 0.0, 60.0, 1.1189878998210068, 20.0, 1.106981872738826, 10.0, 30.18802891632545]
