ids	maltype	system calls tfidf_1gram-scaled
delay_136_2021-11-30	delay	[0.0, 0.000424880076292395, 0.00018583506650493245, -1.2179363905746523, 0.0003716701330098649, 0.8086585247518905, 0.0, -0.8398471474278496, 0.0, 0.00019059304428085797, 0.0, 0.000509779029948963, 0.1095627330148274, 0.0001381654376547902, -0.014463732066664637, 0.00018583506650493245, 34.17965858024532]
delay_137_2021-11-30	delay	[0.0, 0.0008145127470882853, 0.0003562535382809994, -0.3330420503970806, 0.0007125070765619988, 0.8474486612107125, 0.0, -1.4512571695344492, 0.0, 0.00036537477922661424, 0.0, 0.0009772675662155148, 0.029199580206644496, 0.00026486888055304343, -2.8807058239262027, 0.0003562535382809994, 65.0743655204443]
delay_138_2021-11-30	delay	[0.0, 0.0, 0.0, -1.0886706703281777, 0.0, -0.2983808617456303, 0.0, 0.4079063549564995, 0.0, 0.0, 0.0, 0.0, -0.41866039511569164, 0.0, -0.03793010000417967, 0.0, 0.15344873658792912]
delay_139_2021-11-30	delay	[0.0, 0.000731312161383203, 0.0003198630666150301, -0.8369144843431037, 0.0006397261332300602, -0.09070424336654238, 0.0, -2.1654822907421316, 0.0, 0.00032805259397881916, 0.0, 0.0008774419536755334, 0.852002434297022, 0.0002378131394663124, -1.6080871460748998, 0.0003198630666150301, 58.49229044481692]
delay_13_2021-11-30	delay	[0.0, 0.0004651866090319976, 0.00020346443443766774, 0.3833077768741979, 0.0004069288688753355, -0.7417623942467708, 0.0, -0.06021035908286621, 0.0, 0.00020867378095903587, 0.0, 0.0005581395587360562, -0.4984510995431277, 0.00015127259434924025, -1.7506473030555518, 0.00020346443443766774, 37.23271503365349]
delay_140_2021-11-30	delay	[0.0, 0.0005048630147540425, 0.00022081819590460635, -1.5488209408826652, 0.0004416363918092127, 0.9966296449135511, 0.0, 0.5337372636810348, 0.0, 0.00022647185475594165, 0.0, 0.0006057440493898524, -1.30958586322198, 0.00016417484198813119, -1.572138876456738, 0.00022081819590460635, 41.77170864319445]
delay_141_2021-11-30	delay	[0.0, 0.0004047940589789112, 0.00017704979609206017, 0.7104143228963824, 0.00035409959218412034, -0.38981957291893227, 0.0, -0.639825259509134, 0.0, 0.00018158284257721217, 0.0, 0.0004856794522258615, 0.19370570274165863, 0.00013163372782015593, -1.4498980286914118, 0.00017704979609206017, 32.870254671978465]
delay_142_2021-11-30	delay	[0.0, 0.00036729834996267733, 0.00016064983297897186, 1.073226466362321, 0.0003212996659579437, 0.385881604304096, 0.0, -1.0832970428769106, 0.0, 0.00016476298745189162, 0.0, 0.0004406914021004186, 0.37590803158098474, 0.0001194406141971029, 0.9766295585427868, 0.00016064983297897186, 27.909836500116548]
delay_143_2021-11-30	delay	[0.0, 0.00042670507132341206, 0.0001866332872073944, 0.057323781670804895, 0.0003732665744147888, -0.632169859781934, 0.0, 0.343641849582208, 0.0, 0.00019141170201080905, 0.0, 0.0005119686929820992, -0.633810702534938, 0.00013875890214335508, -3.217267774707696, 0.0001866332872073944, 36.34880961950652]
delay_144_2021-11-30	delay	[0.0, 0.00042831183460355403, 0.00018733605718340381, 0.9528573565753183, 0.00037467211436680763, -1.0267712000301001, 0.0, -1.436783057939342, 0.0, 0.0001921324651674938, 0.0, 0.0005138965174954443, 1.0593135063027976, 0.00013928140052394682, -1.719133021575635, 0.00018733605718340381, 33.23891866804188]
