ids	maltype	system calls hashing_1gram
delay_13_2021-11-30	delay	[0.0, 0.8097022800345725, 0.00012307002067646103, 0.0, 0.0, 0.0, 0.00043074507236761365, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00012307002067646103, 0.0, 0.0, -0.02673080849092734, 0.0, -0.27347389294516405, -0.5184324620995922, 0.0, -0.0003692100620293831, -0.010350188738890374, 0.0, 0.0, 0.0, 0.0, -0.00012307002067646103]
delay_140_2021-11-30	delay	[0.0, 0.8098752558636199, 0.0001335524242449201, 0.0, 0.0, 0.0, 0.0004674334848572203, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001335524242449201, 0.0, 0.0, -0.028633639758110868, 0.0, -0.2728342474899472, -0.5183970899490818, 0.0, -0.00040065727273476024, -0.010377023363830291, 0.0, 0.0, 0.0, 0.0, -0.0001335524242449201]
delay_141_2021-11-30	delay	[0.0, 0.8094632917697868, 0.00010709452949960134, 0.0, 0.0, 0.0, 0.0003748308532486047, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010709452949960134, 0.0, 0.0, -0.02489947810865731, 0.0, -0.27426909004847905, -0.51847674566642, 0.0, -0.00032128358849880406, -0.010356041002611449, 0.0, 0.0, 0.0, 0.0, -0.00010709452949960134]
delay_142_2021-11-30	delay	[0.0, 0.8092854429601508, 9.717644608070974e-05, 0.0, 0.0, 0.0, 0.0003401175612824841, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.717644608070974e-05, 0.0, 0.0, -0.02281702953975065, 0.0, -0.27442628373192435, -0.518766739757261, 0.0, -0.00029152933824212924, -0.01036872679681173, 0.0, 0.0, 0.0, 0.0, -9.717644608070974e-05]
delay_143_2021-11-30	delay	[0.0, 0.8098644707756214, 0.00011288725704626663, 0.0, 0.0, 0.0, 0.0003951053996619332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011288725704626663, 0.0, 0.0, -0.026359174520303258, 0.0, -0.2733677816632393, -0.5182541083737054, 0.0, -0.00033866177113879987, -0.01035176147114265, 0.0, 0.0, 0.0, 0.0, -0.00011288725704626663]
delay_144_2021-11-30	delay	[0.0, 0.8091254165962257, 0.00011331812621265573, 0.0, 0.0, 0.0, 0.00039661344174429504, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011331812621265573, 0.0, 0.0, -0.02505463770561818, 0.0, -0.2752950558210258, -0.5184530910481425, 0.0, -0.0003399543786379672, -0.010345944923215467, 0.0, 0.0, 0.0, 0.0, -0.00011331812621265573]
delay_145_2021-11-30	delay	[0.0, 0.8093927377840338, 0.0001064892362261415, 0.0, 0.0, 0.0, 0.00037271232679149526, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001064892362261415, 0.0, 0.0, -0.024162407699711508, 0.0, -0.2739222623445038, -0.5188049099701387, 0.0, -0.0003194677086784245, -0.010361402684803568, 0.0, 0.0, 0.0, 0.0, -0.0001064892362261415]
delay_146_2021-11-30	delay	[0.0, 0.8095599633990344, 0.00011349820034194627, 0.0, 0.0, 0.0, 0.0003972437011968119, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011349820034194627, 0.0, 0.0, -0.025310098676254018, 0.0, -0.27346256390388535, -0.5187321748428312, 0.0, -0.0003404946010258388, -0.010339686051151304, 0.0, 0.0, 0.0, 0.0, -0.00011349820034194627]
delay_147_2021-11-30	delay	[0.0, 0.8093793223379611, 0.00010047536743069469, 0.0, 0.0, 0.0, 0.00035166378600743145, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010047536743069469, 0.0, 0.0, -0.023511235978782557, 0.0, -0.27424751540208114, -0.5186839892874753, 0.0, -0.0003014261022920841, -0.010359010382104622, 0.0, 0.0, 0.0, 0.0, -0.00010047536743069469]
delay_148_2021-11-30	delay	[0.0, 0.8096825910364088, 0.00011252468050425381, 0.0, 0.0, 0.0, 0.00039383638176488837, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00011252468050425381, 0.0, 0.0, -0.025543102474465618, 0.0, -0.2734912359655889, -0.5185137277636016, 0.0, -0.0003375740415127615, -0.010363523074441777, 0.0, 0.0, 0.0, 0.0, -0.00011252468050425381]
delay_149_2021-11-30	delay	[0.0, 0.8086544355057583, 0.00021049390517368827, 0.0, 0.0, 0.0, 0.000736728668107909, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00021049390517368827, 0.0, 0.0, -0.037731032502383625, 0.0, -0.2754417996150298, -0.5183412414902074, 0.0, -0.0006314817155210648, -0.010366824829804147, 0.0, 0.0, 0.0, 0.0, -0.00021049390517368827]
delay_14_2021-11-30	delay	[0.0, 0.8092079029477732, 0.00010367415768103381, 0.0, 0.0, 0.0, 0.00036285955188361833, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010367415768103381, 0.0, 0.0, -0.024010934918927432, 0.0, -0.27502680549624653, -0.5185159322259225, 0.0, -0.0003110224730431014, -0.010357048352335278, 0.0, 0.0, 0.0, 0.0, -0.00010367415768103381]
delay_150_2021-11-30	delay	[0.0, 0.8097682254252935, 0.000130563555154753, 0.0, 0.0, 0.0, 0.00045697244304163543, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000130563555154753, 0.0, 0.0, -0.02841062960167425, 0.0, -0.27341314084956825, -0.518272032186792, 0.0, -0.00039169066546425893, -0.010353689923771912, 0.0, 0.0, 0.0, 0.0, -0.000130563555154753]
delay_151_2021-11-30	delay	[0.0, 0.808969972027442, 0.00010824512905966978, 0.0, 0.0, 0.0, 0.0003788579517088442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00010824512905966978, 0.0, 0.0, -0.02466906491269874, 0.0, -0.275667870176261, -0.5185158172216301, 0.0, -0.0003247353871790093, -0.010359058851010397, 0.0, 0.0, 0.0, 0.0, -0.00010824512905966978]
delay_152_2021-11-30	delay	[0.0, 0.8099054651076463, 0.0001233897231950465, 0.0, 0.0, 0.0, 0.0004318640311826628, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0001233897231950465, 0.0, 0.0, -0.0270593662966737, 0.0, -0.27276532209496984, -0.518471277893266, 0.0, -0.00037016916958513955, -0.010352397776064403, 0.0, 0.0, 0.0, 0.0, -0.0001233897231950465]
delay_153_2021-11-30	delay	[0.0, 0.8092105973533561, 9.665562969307057e-05, 0.0, 0.0, 0.0, 0.00033829470392574695, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 9.665562969307057e-05, 0.0, 0.0, -0.023158688874459706, 0.0, -0.2746856340247372, -0.5187314334367711, 0.0, -0.0002899668890792117, -0.010351817940127857, 0.0, 0.0, 0.0, 0.0, -9.665562969307057e-05]
