ids	maltype	system calls hashing_1gram
normal_141_2021-12-11	normal	[0.0, 0.7812146564541589, 0.0, 0.02003834415498182, 0.26040488548471963, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010024371440271133, 0.0, -0.2655730520882619, -0.500761028088897, 0.0, 0.0, -0.010013972714710686, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_142_2021-12-11	normal	[0.0, 0.7812491902280315, 0.0, 0.020011092487211207, 0.2604131944555133, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010010349674351453, 0.0, -0.265418369292689, -0.5007864758393403, 0.0, 0.0, -0.010000742812859753, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_143_2021-12-11	normal	[0.0, 0.7812496022816027, 0.0, 0.019989307041939762, 0.26041312585737275, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.009999765875712064, 0.0, -0.2653823346667757, -0.5008062705443527, 0.0, 0.0, -0.009989541166227696, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_144_2021-12-11	normal	[0.0, 0.7804866838795765, 0.0, 0.02001059702988652, 0.260146936352775, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010138335496572492, 0.0, -0.2688448024620517, -0.5002832756756636, 0.0, 0.0, -0.010000711032818113, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_145_2021-12-11	normal	[0.0, 0.7812229835914674, 0.0, 0.020021480441587348, 0.26041521504753934, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010016405608581334, 0.0, -0.2655140640564326, -0.5007749573267654, 0.0, 0.0, -0.010005074833006016, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_146_2021-12-11	normal	[0.0, 0.7812549435705324, 0.0, 0.019997470096131092, 0.26042183954908743, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010004022586430468, 0.0, -0.2653815505353833, -0.5007933336183945, 0.0, 0.0, -0.009993447509700626, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_147_2021-12-11	normal	[0.0, 0.7808935292146711, 0.0, 0.020016124440743806, 0.26029784307155707, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010024604471975822, 0.0, -0.2670250253904847, -0.5005464771991625, 0.0, 0.0, -0.01000254813650393, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_148_2021-12-11	normal	[0.0, 0.7811960134943663, 0.0, 0.020015751963143903, 0.2604050283990156, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010022179758582297, 0.0, -0.26562113908212165, -0.5007656972808665, 0.0, 0.0, -0.010003108055901835, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_149_2021-12-11	normal	[0.0, 0.7809188950172925, 0.0, 0.019978255462477373, 0.26031352505476485, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010027067988492443, 0.0, -0.2668284092289097, -0.500605434353048, 0.0, 0.0, -0.00998370769448815, 0.0, 0.0, 0.0, 0.0, 0.0]
normal_14_2021-12-11	normal	[0.0, 0.7813305203713171, 0.0, 0.020006831517654824, 0.26044350679043904, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -0.010008208962353445, 0.0, -0.26504498217542916, -0.500841836435015, 0.0, 0.0, -0.009998622555301382, 0.0, 0.0, 0.0, 0.0, 0.0]
