ids	maltype	system calls tfidf_1gram-scaled
normal_168_2021-12-11	normal	[-0.46471846340547335, 0.0, 0.0, -0.4271727769386654, 0.0, -0.2705103045439413, -0.27228054463059914, -0.25770397874527884, 0.0, 0.0, 0.0, 0.0, 0.35262157269039296, 0.0, -0.2943174548980121, 0.0, -0.27285991840881446]
normal_169_2021-12-11	normal	[-0.21410557444803005, 0.0, 0.0, -0.1128903417019105, 0.0, -0.32245191412731605, -0.31854920357890354, 0.05686148396772103, 0.0, 0.0, 0.0, 0.0, 0.03938865608031374, 0.0, -0.026350177577953708, 0.0, 0.27217499351248337]
normal_16_2021-12-11	normal	[0.5275242655123956, 0.0, 0.0, -0.585071865049489, 0.0, -0.37656501892945493, -0.37292750049980306, 0.4059916545655717, 0.0, 0.0, 0.0, 0.0, -0.17624063562984768, 0.0, -0.1735135303764016, 0.0, -0.29518216224206945]
normal_170_2021-12-11	normal	[-1.4830423705471343, 0.0, 0.0, -0.585071865049489, 0.0, -0.29861309722727947, -0.30032288153329967, -1.1661697433149962, 0.0, 0.0, 0.0, 0.0, 1.376225577823616, 0.0, -1.5232048511013996, 0.0, -0.14019660986162516]
normal_171_2021-12-11	normal	[-0.5771648259260981, 0.0, 0.0, -0.585071865049489, 0.0, -0.34675397931164087, -0.3423808157867761, -0.7734473596589769, 0.0, 0.0, 0.0, 0.0, 0.7588438145047145, 0.0, -0.44588849014884924, 0.0, -0.36399003867304863]
normal_172_2021-12-11	normal	[0.3336758224121548, 0.0, 0.0, -0.585071865049489, 0.0, -0.3309336656865314, -0.332362353121379, 0.2433711228991264, 0.0, 0.0, 0.0, 0.0, -0.1838671346648366, 0.0, 0.27352314901958763, 0.0, -0.4119045817312988]
normal_173_2021-12-11	normal	[0.3629802476349728, 0.0, 0.0, 2.04111736385325, 0.0, -0.325249252052318, -0.3257771932448623, 0.6318880731909263, 0.0, 0.0, 0.0, 0.0, -0.5746291343214619, 0.0, 0.7296054200534565, 0.0, -0.4044859477345805]
normal_174_2021-12-11	normal	[-0.42160653649619706, 0.0, 0.0, -0.585071865049489, 0.0, -0.2615137143801755, -0.2575175859740141, -0.16269124387922615, 0.0, 0.0, 0.0, 0.0, 0.30041929050461097, 0.0, -0.3631727171122679, 0.0, -0.1783068715495957]
normal_175_2021-12-11	normal	[0.45445525392198877, 0.0, 0.0, -0.585071865049489, 0.0, -0.30041587369469286, -0.30197991773347016, 0.3727861056400281, 0.0, 0.0, 0.0, 0.0, -0.43253415345775315, 0.0, 0.7952922239655444, 0.0, -0.38192916237049124]
normal_176_2021-12-11	normal	[0.6347086761090003, 0.0, 0.0, -0.585071865049489, 0.0, -0.33077352070183363, -0.332460701838344, 0.737913698154242, 0.0, 0.0, 0.0, 0.0, -0.6250646883049121, 0.0, 0.6017148911839244, 0.0, -0.4122582084728434]
normal_177_2021-12-11	normal	[0.45779074211915954, 0.0, 0.0, 2.277536175784674, 0.0, -0.3797190998021841, -0.38014900941037755, 0.5500310620922751, 0.0, 0.0, 0.0, 0.0, -0.5119537360298989, 0.0, 0.7003778791330856, 0.0, -0.3731272940838049]
normal_178_2021-12-11	normal	[-2.2793593434346833, 0.0, 0.0, -0.585071865049489, 0.0, -0.3942508134009201, -0.3938754851390044, -2.1665148032696875, 0.0, 0.0, 0.0, 0.0, 2.1890265216843474, 0.0, -1.7663030695120148, 0.0, -0.3827417584542562]
normal_179_2021-12-11	normal	[0.8749067534465308, 0.0, 0.0, -0.585071865049489, 0.0, -0.30765195475685236, -0.3046581319698741, 0.5677747138398824, 0.0, 0.0, 0.0, 0.0, -0.5493201562002181, 0.0, 0.6395375199436547, 0.0, -0.380066580364964]
normal_17_2021-12-11	normal	[0.8525423838371132, 0.0, 0.0, 1.704823313075006, 0.0, -0.31173374133274184, -0.3132657278244157, 0.7952735061275789, 0.0, 0.0, 0.0, 0.0, -0.7555736187478332, 0.0, 0.8402795202766123, 0.0, -0.35269085089244506]
normal_180_2021-12-11	normal	[-1.5073791161913699, 0.0, 0.0, -0.42077420813349165, 0.0, -0.2946687451015733, -0.2956222819204907, -1.7158482155793535, 0.0, 0.0, 0.0, 0.0, 1.8477029293387102, 0.0, -1.8843443454856894, 0.0, -0.3750236291565578]
normal_181_2021-12-11	normal	[0.8473946859940072, 0.0, 0.0, -0.585071865049489, 0.0, -0.3230366811695958, -0.31913429487651185, 0.5230502802379151, 0.0, 0.0, 0.0, 0.0, -0.46661310292867764, 0.0, 0.443490518979654, 0.0, -0.18886665910215333]
normal_182_2021-12-11	normal	[-0.3113002211449073, 0.0, 0.0, -0.3938600412635559, 0.0, -0.16054388905311884, -0.15806706114275726, -0.2667252400520465, 0.0, 0.0, 0.0, 0.0, 0.31240723683850186, 0.0, -0.2902178283165076, 0.0, 0.05475170262971318]
normal_183_2021-12-11	normal	[0.6103146419237716, 0.0, 0.0, -0.585071865049489, 0.0, -0.3780237794421368, -0.3729729485621108, 0.7120078143166952, 0.0, 0.0, 0.0, 0.0, -0.5660633544667678, 0.0, 0.49143782309396783, 0.0, -0.445729377467369]
normal_184_2021-12-11	normal	[-4.952167998977632, 0.0, 0.0, -0.5319646223380757, 0.0, -0.2722894560454166, -0.2738781875224385, -5.195216388734589, 0.0, 0.0, 0.0, 0.0, 5.187620972543644, 0.0, -4.74044383503626, 0.0, -0.1527035342634455]
normal_185_2021-12-11	normal	[-3.9966121019313143, 0.0, 0.0, -0.4229737193059189, 0.0, -0.31668662300644085, -0.31792026949463303, -4.003918321186764, 0.0, 0.0, 0.0, 0.0, 4.048170650326735, 0.0, -3.6907745604655333, 0.0, -0.19248846270514022]
normal_186_2021-12-11	normal	[0.20345107681332256, 0.0, 0.0, -0.14880887216930513, 0.0, -0.30083201041668234, -0.29889336057448096, 0.07632333747824868, 0.0, 0.0, 0.0, 0.0, -0.13816144109875259, 0.0, 0.49169325409309234, 0.0, -0.23358855944991724]
normal_187_2021-12-11	normal	[-1.6516521212499584, 0.0, 0.0, -0.585071865049489, 0.0, -0.32309429955481084, -0.32451957096293577, -1.8650304700156117, 0.0, 0.0, 0.0, 0.0, 2.11927560250847, 0.0, -2.437861788887368, 0.0, -0.40412885454487896]
normal_188_2021-12-11	normal	[-0.5086077971952749, 0.0, 0.0, -0.585071865049489, 0.0, -0.3912637885038228, -0.38853339639335616, -0.8969572428154159, 0.0, 0.0, 0.0, 0.0, 0.897765134253843, 0.0, -0.684592715128229, 0.0, -0.023928115813340665]
normal_189_2021-12-11	normal	[0.6765928609644895, 0.0, 0.0, -0.585071865049489, 0.0, -0.31534417980025475, -0.31691467945282803, 0.6087487280833391, 0.0, 0.0, 0.0, 0.0, -0.5769350863544482, 0.0, 0.7022702543962344, 0.0, -0.3564216771937982]
